cycle,branch,model,modeldate,candidate_inc,candidate_chal,scenario_id,probability,scenario_description,timestamp,simulations
2020,President,polls-plus,9/28/2020,Trump,Biden,3,0.11455,Trump wins popular vote,28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,2,0.05215,Recount (1+ decisive states within 0.5 ppt),28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,1,0.004675,Electoral College deadlock (No candidate gets 270 electoral votes),28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,14,0.91155,Biden wins at least one state Trump won in 2016,28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,13,0.37285,Trump wins at least one state Clinton won in 2016,28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,12,0.001175,Map exactly the same as in 2016,28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,11,0.278375,Biden landslide (double-digit popular vote margin),28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,10,0.003,Trump landslide (double-digit popular vote margin),28/09/2020 22:13,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,9,0.8483,Biden majority (at least 50 percent of the vote),27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,8,0.071375,Trump majority (at least 50 percent of the vote),27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,6,0.1178625,Biden wins popular vote but loses Electoral College,27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,5,0.0008375,Trump wins popular vote but loses Electoral College,27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,4,0.894975,Biden wins popular vote,27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,3,0.105025,Trump wins popular vote,27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,2,0.051525,Recount (1+ decisive states within 0.5 ppt),27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,1,0.0047,Electoral College deadlock (No candidate gets 270 electoral votes),27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,14,0.912275,Biden wins at least one state Trump won in 2016,27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,13,0.366,Trump wins at least one state Clinton won in 2016,27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,12,0.001125,Map exactly the same as in 2016,27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,11,0.300875,Biden landslide (double-digit popular vote margin),27/09/2020 20:00,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,10,0.002575,Trump landslide (double-digit popular vote margin),27/09/2020 20:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,9,0.843775,Biden majority (at least 50 percent of the vote),26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,8,0.074625,Trump majority (at least 50 percent of the vote),26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,6,0.119475,Biden wins popular vote but loses Electoral College,26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,5,0.000775,Trump wins popular vote but loses Electoral College,26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,4,0.890875,Biden wins popular vote,26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,3,0.109125,Trump wins popular vote,26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,2,0.051475,Recount (1+ decisive states within 0.5 ppt),26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,1,0.005,Electoral College deadlock (No candidate gets 270 electoral votes),26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,14,0.9087,Biden wins at least one state Trump won in 2016,26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,13,0.365275,Trump wins at least one state Clinton won in 2016,26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,12,0.00115,Map exactly the same as in 2016,26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,11,0.2974,Biden landslide (double-digit popular vote margin),26/09/2020 19:00,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,10,0.00275,Trump landslide (double-digit popular vote margin),26/09/2020 19:00,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,9,0.8414,Biden majority (at least 50 percent of the vote),25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,8,0.076075,Trump majority (at least 50 percent of the vote),25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,6,0.12065,Biden wins popular vote but loses Electoral College,25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,5,0.00075,Trump wins popular vote but loses Electoral College,25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,4,0.889275,Biden wins popular vote,25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,3,0.110725,Trump wins popular vote,25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,2,0.052725,Recount (1+ decisive states within 0.5 ppt),25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,1,0.00505,Electoral College deadlock (No candidate gets 270 electoral votes),25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,14,0.90745,Biden wins at least one state Trump won in 2016,25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,13,0.3656,Trump wins at least one state Clinton won in 2016,25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,12,0.0014,Map exactly the same as in 2016,25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,11,0.297675,Biden landslide (double-digit popular vote margin),25/09/2020 22:17,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,10,0.002825,Trump landslide (double-digit popular vote margin),25/09/2020 22:17,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,9,0.8309,Biden majority (at least 50 percent of the vote),24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,8,0.0813,Trump majority (at least 50 percent of the vote),24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,6,0.1140125,Biden wins popular vote but loses Electoral College,24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,5,0.0012375,Trump wins popular vote but loses Electoral College,24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,4,0.881225,Biden wins popular vote,24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,3,0.118775,Trump wins popular vote,24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,2,0.052175,Recount (1+ decisive states within 0.5 ppt),24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,1,0.00455,Electoral College deadlock (No candidate gets 270 electoral votes),24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,14,0.909525,Biden wins at least one state Trump won in 2016,24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,13,0.3625,Trump wins at least one state Clinton won in 2016,24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,12,0.001225,Map exactly the same as in 2016,24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,11,0.2863,Biden landslide (double-digit popular vote margin),24/09/2020 19:10,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,10,0.0034,Trump landslide (double-digit popular vote margin),24/09/2020 19:10,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,9,0.83625,Biden majority (at least 50 percent of the vote),23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,8,0.078875,Trump majority (at least 50 percent of the vote),23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,6,0.110975,Biden wins popular vote but loses Electoral College,23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,5,0.0010375,Trump wins popular vote but loses Electoral College,23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,4,0.885225,Biden wins popular vote,23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,3,0.114775,Trump wins popular vote,23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,2,0.051225,Recount (1+ decisive states within 0.5 ppt),23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,1,0.004725,Electoral College deadlock (No candidate gets 270 electoral votes),23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,14,0.919525,Biden wins at least one state Trump won in 2016,23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,13,0.365975,Trump wins at least one state Clinton won in 2016,23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,12,0.0011,Map exactly the same as in 2016,23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,11,0.29895,Biden landslide (double-digit popular vote margin),23/09/2020 20:53,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,10,0.003325,Trump landslide (double-digit popular vote margin),23/09/2020 20:53,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,9,0.83225,Biden majority (at least 50 percent of the vote),22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,8,0.082125,Trump majority (at least 50 percent of the vote),22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,6,0.111225,Biden wins popular vote but loses Electoral College,22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,5,0.001225,Trump wins popular vote but loses Electoral College,22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,4,0.8813,Biden wins popular vote,22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,3,0.1187,Trump wins popular vote,22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,2,0.050775,Recount (1+ decisive states within 0.5 ppt),22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,1,0.0054,Electoral College deadlock (No candidate gets 270 electoral votes),22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,14,0.915725,Biden wins at least one state Trump won in 2016,22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,13,0.37255,Trump wins at least one state Clinton won in 2016,22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,12,0.0007,Map exactly the same as in 2016,22/09/2020 19:00,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,11,0.297875,Biden landslide (double-digit popular vote margin),22/09/2020 19:00,40000
